"id","parent_id","name","fullname","parent_name","name_ru","vehicle_type_id","slug","source","parent_model_id","freq"
18521,NULL,"Tristan","Tristan","","",NULL,"tristan","ilya_add",NULL,0
18522,18521,"315","","Tristan","",6,"315","ilya_add",NULL,0
18523,18521,"345","","Tristan","",6,"345","ilya_add",NULL,0
18524,NULL,"РАСТ","РАСТ","","",NULL,"rast","ilya_add",NULL,0
18525,18524,"Бокар","","РАСТ","",6,"bokar","ilya_add",NULL,0
18526,NULL,"Celebrity boats","Celebrity boats","","",NULL,"celebrityboats","ilya_add",NULL,0
18527,18526,"Bowrider","","Celebrity boats","",6,"bowrider","ilya_add",NULL,0
18528,NULL,"Hoya","Hoya","","",NULL,"hoya","ilya_add",NULL,0
18529,18528,"Cruiser","","Hoya","",6,"cruiser","ilya_add",NULL,0
18530,NULL,"Pragmatik","Pragmatik","","",NULL,"pragmatik","ilya_add",NULL,0
18531,18530,"Aqua House","","Pragmatik","",6,"aquahouse","ilya_add",NULL,0
18532,18530,"Boston","","Pragmatik","",6,"boston","ilya_add",NULL,0
18533,18530,"Favorit","","Pragmatik","",6,"favorit","ilya_add",NULL,0
18534,18530,"Gepard","","Pragmatik","",6,"gepard","ilya_add",NULL,0
18535,18530,"Sprinter-Box","","Pragmatik","",6,"sprinterbox","ilya_add",NULL,0
18536,4450,"150","","Triumph","",6,"150","ilya_add",NULL,0
18537,4450,"1700","","Triumph","",6,"1700","ilya_add",NULL,0
18538,4450,"190","","Triumph","",6,"190","ilya_add",NULL,0
18539,4450,"195","","Triumph","",6,"195","ilya_add",NULL,0
18540,4450,"235","","Triumph","",6,"235","ilya_add",NULL,0
18541,4450,"170","","Triumph","",6,"170","ilya_add",NULL,0
18542,4450,"19","","Triumph","",6,"19","ilya_add",NULL,0
18543,4450,"191","","Triumph","",6,"191","ilya_add",NULL,0
18544,4450,"215","","Triumph","",6,"215","ilya_add",NULL,0
18545,NULL,"САВА","САВА","","",NULL,"sava","ilya_add",NULL,0
18546,18545,"SAVA","","САВА","",6,"sava","ilya_add",NULL,0
18547,18545,"Viking","","САВА","",6,"viking","ilya_add",NULL,0
18548,15060,"205","","Chaparral","",6,"205","ilya_add",NULL,0
18549,15060,"Signature","","Chaparral","",6,"signature","ilya_add",NULL,0
18550,15060,"SSX","","Chaparral","",6,"ssx","ilya_add",NULL,0
18551,15060,"Sunseta","","Chaparral","",6,"sunseta","ilya_add",NULL,0
18552,15060,"Xtreme","","Chaparral","",6,"xtreme","ilya_add",NULL,0
18553,15060,"H2O","","Chaparral","",6,"h2o","ilya_add",NULL,0
18554,15060,"SSI","","Chaparral","",6,"ssi","ilya_add",NULL,0
18555,NULL,"Hunter","Hunter","","",NULL,"hunter","ilya_add",NULL,1
18556,18555,"Hunter","","Hunter","",6,"hunter","ilya_add",NULL,0
18557,4081,"Sunsation","","Premier","",6,"sunsation","ilya_add",NULL,0
18558,NULL,"Trophy","Trophy","","",NULL,"trophy","ilya_add",NULL,0
18559,18558,"1802","","Trophy","",6,"1802","ilya_add",NULL,0
18560,18558,"2002","","Trophy","",6,"2002","ilya_add",NULL,0
18561,18558,"2352","","Trophy","",6,"2352","ilya_add",NULL,0
18562,18558,"2359","","Trophy","",6,"2359","ilya_add",NULL,0
18563,18558,"2902","","Trophy","",6,"2902","ilya_add",NULL,0
18564,18558,"1952","","Trophy","",6,"1952","ilya_add",NULL,0
18565,18558,"2052","","Trophy","",6,"2052","ilya_add",NULL,0
18566,NULL,"Саитов","Саитов","","",NULL,"saitov","ilya_add",NULL,0
18567,18566,"Посейдон","","Саитов","",6,"posejdon","ilya_add",NULL,0
18568,NULL,"Checkmate","Checkmate","","",NULL,"checkmate","ilya_add",NULL,0
18569,18568,"Convincor","","Checkmate","",6,"convincor","ilya_add",NULL,0
18570,NULL,"Hurricane","Hurricane","","",NULL,"hurricane","ilya_add",NULL,0
18571,18570,"SD 2200","","Hurricane","",6,"sd2200","ilya_add",NULL,0
18572,NULL,"Premium Hydrofoil Boats","Premium Hydrofoil Boats","","",NULL,"premiumhydrofoilboats","ilya_add",NULL,0
18573,18572,"Sea Ghost","","Premium Hydrofoil Boats","",6,"seaghost","ilya_add",NULL,0
18574,18572,"Sea Rocket","","Premium Hydrofoil Boats","",6,"searocket","ilya_add",NULL,0
18575,18572,"Silver Wing","","Premium Hydrofoil Boats","",6,"silverwing","ilya_add",NULL,0
18576,NULL,"Tuna Boats","Tuna Boats","","",NULL,"tunaboats","ilya_add",NULL,0
18577,18576,"420","","Tuna Boats","",6,"420","ilya_add",NULL,0
18578,18576,"470","","Tuna Boats","",6,"470","ilya_add",NULL,0
18579,18576,"550","","Tuna Boats","",6,"550","ilya_add",NULL,0
18580,18576,"600","","Tuna Boats","",6,"600","ilya_add",NULL,0
18581,18576,"800","","Tuna Boats","",6,"800","ilya_add",NULL,0
18582,18576,"450","","Tuna Boats","",6,"450","ilya_add",NULL,0
18583,18576,"520","","Tuna Boats","",6,"520","ilya_add",NULL,0
18584,NULL,"Салют","Салют","","",NULL,"salyut","ilya_add",NULL,0
18585,18584,"480","","Салют","",6,"480","ilya_add",NULL,0
18586,NULL,"Chris Craft","Chris Craft","","",NULL,"chriscraft","ilya_add",NULL,0
18587,18586,"25","","Chris Craft","",6,"25","ilya_add",NULL,0
18588,18586,"Concept Cruiser","","Chris Craft","",6,"conceptcruiser","ilya_add",NULL,0
18589,18586,"Corsair","","Chris Craft","",6,"corsair","ilya_add",NULL,0
18590,18586,"Launch","","Chris Craft","",6,"launch","ilya_add",NULL,0
18591,18586,"Silver Bullet","","Chris Craft","",6,"silverbullet","ilya_add",NULL,0
18592,18586,"Catalina","","Chris Craft","",6,"catalina","ilya_add",NULL,0
18593,18586,"Constellation","","Chris Craft","",6,"constellation","ilya_add",NULL,0
18594,18586,"Lancer","","Chris Craft","",6,"lancer","ilya_add",NULL,0
18595,18586,"Roamer","","Chris Craft","",6,"roamer","ilya_add",NULL,0
18596,NULL,"Hustler","Hustler","","",NULL,"hustler","ilya_add",NULL,0
18597,18596,"26 Sport","","Hustler","",6,"26sport","ilya_add",NULL,0
18598,18596,"388 Slingshot","","Hustler","",6,"388slingshot","ilya_add",NULL,0
18599,NULL,"Primatist","Primatist","","",NULL,"primatist","ilya_add",NULL,0
18600,18599,"G 41","","Primatist","",6,"g41","ilya_add",NULL,0
18601,NULL,"Uksi Boats","Uksi Boats","","",NULL,"uksiboats","ilya_add",NULL,0
18602,18601,"Agitator","","Uksi Boats","",6,"agitator","ilya_add",NULL,0
18603,NULL,"СЗ Вымпел","СЗ Вымпел","","",NULL,"szvyimpel","ilya_add",NULL,0
18604,18603,"Т-63","","СЗ Вымпел","",6,"t63","ilya_add",NULL,0
18605,NULL,"Christy Hovercraft","Christy Hovercraft","","",NULL,"christyhovercraft","ilya_add",NULL,0
18606,18605,"Christy 453","","Christy Hovercraft","",6,"christy453","ilya_add",NULL,0
18607,18605,"Christy 6143/6183","","Christy Hovercraft","",6,"christy61436183","ilya_add",NULL,0
18608,18605,"Christy 555","","Christy Hovercraft","",6,"christy555","ilya_add",NULL,0
18609,18605,"Christy 6199","","Christy Hovercraft","",6,"christy6199","ilya_add",NULL,0
18610,18605,"Christy 8199","","Christy Hovercraft","",6,"christy8199","ilya_add",NULL,0
18611,NULL,"Hydrolift","Hydrolift","","",NULL,"hydrolift","ilya_add",NULL,0
18612,18611,"S 24","","Hydrolift","",6,"s24","ilya_add",NULL,0
18613,NULL,"Princecraft","Princecraft","","",NULL,"princecraft","ilya_add",NULL,0
18614,18613,"Expedition","","Princecraft","",6,"expedition","ilya_add",NULL,0
18615,18613,"Super Pro","","Princecraft","",6,"superpro","ilya_add",NULL,0
18616,NULL,"UMS","UMS","","",NULL,"ums","ilya_add",NULL,1
18617,18616,"UMS 420","","UMS","",6,"420","ilya_add",NULL,0
18618,18616,"UMS 470","","UMS","",6,"470","ilya_add",NULL,0
18619,18616,"UMS 520","","UMS","",6,"520","ilya_add",NULL,0
18620,18616,"UMS 600","","UMS","",6,"600","ilya_add",NULL,0
18621,18616,"UMS 800","","UMS","",6,"800","ilya_add",NULL,0
18622,18616,"UMS 450","","UMS","",6,"450","ilya_add",NULL,0
18623,18616,"UMS 500","","UMS","",6,"500","ilya_add",NULL,0
18624,NULL,"СкифДон","СкифДон","","",NULL,"skifdon","ilya_add",NULL,0
18625,18624,"Анапа","","СкифДон","",6,"anapa","ilya_add",NULL,0
18626,18624,"Лео","","СкифДон","",6,"leo","ilya_add",NULL,0
18627,18624,"Мотылек","","СкифДон","",6,"motyilek","ilya_add",NULL,0
18628,18624,"Скиф","","СкифДон","",6,"skif","ilya_add",NULL,0
18629,18624,"Сталкер","","СкифДон","",6,"stalker","ilya_add",NULL,0
18630,18624,"Дон","","СкифДон","",6,"don","ilya_add",NULL,0
18631,22,"Courier","","Chrysler","",6,"courier","ilya_add",NULL,0
18632,NULL,"Imexus Yachts","Imexus Yachts","","",NULL,"imexusyachts","ilya_add",NULL,0
18633,18632,"Imexus 24","","Imexus Yachts","",6,"imexus24","ilya_add",NULL,0
18634,18632,"Imexus 27","","Imexus Yachts","",6,"imexus27","ilya_add",NULL,0
18635,18632,"Imexus 28","","Imexus Yachts","",6,"imexus28","ilya_add",NULL,0
18636,NULL,"Princess Yachts","Princess Yachts","","",NULL,"princessyachts","ilya_add",NULL,0
18637,18636,"21M","","Princess Yachts","",6,"21m","ilya_add",NULL,0
18638,18636,"45","","Princess Yachts","",6,"45","ilya_add",NULL,0
18639,18636,"57","","Princess Yachts","",6,"57","ilya_add",NULL,0
18640,18636,"58","","Princess Yachts","",6,"58","ilya_add",NULL,0
18641,18636,"V55","","Princess Yachts","",6,"v55","ilya_add",NULL,0
18642,18636,"42","","Princess Yachts","",6,"42","ilya_add",NULL,0
18643,18636,"54","","Princess Yachts","",6,"54","ilya_add",NULL,0
18644,18636,"V48","","Princess Yachts","",6,"v48","ilya_add",NULL,0
18645,NULL,"Uttern","Uttern","","",NULL,"uttern","ilya_add",NULL,0
